fixture_id,a_home,a_away
571472,-3.8880956,-4.3756404
571473,-4.254457,-4.376235
571474,-4.46845,-4.3248787
571475,-4.3735085,-4.6921587
571476,-5.1721478,-4.0131335
571477,-4.1017485,-4.1533666
571478,-3.6551616,-4.571636
571479,-4.073959,-4.3816924
571480,-4.028085,-4.1278934
571481,-4.0075173,-5.2470665
571482,-3.6578393,-4.3669076
571483,-4.244028,-4.5861278
571484,-4.101729,-3.923912
571485,-4.4813156,-4.1099634
571486,-4.568879,-4.2860184
571487,-3.9431195,-4.483141
571488,-4.0015774,-4.5894804
571489,-4.093164,-4.363916
571490,-4.4769998,-4.341406
571491,-4.477469,-4.133058
571492,-4.7345066,-3.966223
571493,-4.46036,-4.582811
571494,-4.189291,-4.981416
571495,-4.266818,-4.5830474
571496,-4.141868,-3.779694
571497,-4.137081,-3.6117125
571498,-4.050946,-4.5861883
571499,-3.8153045,-4.3935857
571500,-3.8020706,-4.5882144
571501,-4.4772143,-4.340801
571502,-4.4837766,-4.21922
571503,-4.204744,-4.805985
571504,-4.0810966,-4.4535475
571505,-3.5414326,-4.180375
571506,-4.265778,-4.5152516
571507,-3.6460145,-4.3125052
571508,-4.05848,-4.1780014
571509,-5.28604,-3.47828
571510,-4.3059025,-4.0567513
571511,-4.3152328,-4.846367
571512,-3.8955896,-4.8534684
571513,-4.2542424,-3.8813944
571514,-4.8793235,-4.771834
571515,-3.824722,-4.0672936
571516,-4.4925227,-4.078364
571517,-4.3219476,-4.5096965
571518,-5.2364225,-3.708476
571519,-4.3588595,-4.261354
571520,-3.476205,-4.4379396
571521,-4.575535,-3.702051
571522,-4.0700727,-4.590571
571523,-4.158471,-4.4180813
571524,-3.703167,-4.9056206
571525,-3.7826242,-4.5129647
571526,-4.3732343,-4.422476
571527,-3.8110797,-4.45094
571528,-4.6365705,-3.7317255
571529,-2.9771004,-4.633504
571530,-4.121494,-4.465408
571531,-4.096437,-4.5921464
571532,-3.9108758,-4.402796
571533,-3.6319249,-4.6150637
571534,-4.737112,-3.993886
571535,-4.137279,-4.43413
571536,-4.2723956,-4.226358
571537,-3.8654385,-4.1355214
571538,-4.7395415,-3.6380718
571539,-4.1538897,-4.095269
571540,-4.7602863,-3.5522256
571541,-4.3392463,-3.5548015
571542,-4.6003413,-4.2336116
571543,-4.1162944,-4.4210405
571544,-4.411748,-3.8527346
571545,-3.9535277,-4.7853575
571546,-3.459983,-4.2294607
571547,-3.9493477,-4.754361
571548,-3.1613357,-5.3067117
571549,-4.356776,-4.2122183
571550,-4.249231,-3.945248
571551,-4.0882483,-4.186735
571552,-4.2420063,-4.495009
571553,-4.356853,-4.350977
571554,-4.5106125,-4.6570635
571555,-4.696699,-3.5936599
571556,-3.387259,-4.5689964
571557,-5.050323,-3.428903
571558,-3.7941298,-4.4674697
571559,-3.9913456,-4.267809
571560,-4.908045,-4.1905646
571561,-4.643473,-4.1637044
571562,-3.5737662,-3.735171
571563,-4.062531,-3.9561722
571564,-4.2205715,-4.323799
571565,-4.500247,-4.1778398
571566,-4.1763916,-4.586432
571567,-3.5227065,-4.852614
571568,-4.4917884,-4.228586
571569,-4.3085823,-3.426231
571570,-4.347765,-3.9852772
571571,-3.7556932,-4.871121
571572,-3.4057548,-4.8626876
571573,-4.547164,-4.0975175
571574,-3.4528866,-4.417596
571575,-4.5502753,-4.12159
571576,-3.8331547,-4.158522
571577,-3.9168987,-3.912229
571578,-4.250297,-4.5423746
571579,-4.3611755,-4.3881903
571580,-3.7212105,-3.923536
571581,-4.2185464,-4.4425244
571582,-3.697818,-4.4904695
571583,-3.8802533,-4.2794933
571584,-4.488616,-4.3535748
571585,-4.232178,-3.8956
571586,-4.6241627,-4.1203923
571587,-3.4484043,-4.9501166
571588,-4.5768337,-4.026088
571589,-3.7146392,-4.3714
571590,-4.109941,-4.021642
571591,-4.368005,-4.190102
571592,-3.9024704,-4.1951427
571593,-4.3978705,-4.6256633
571594,-4.2293634,-4.4569373
571595,-3.9253585,-4.948476
571596,-4.434896,-3.7241554
571597,-4.37821,-3.7415135
571598,-4.404494,-4.5260854
571599,-4.6695995,-4.0017653
571600,-4.432688,-3.7125185
571601,-4.183922,-4.3216577
571602,-3.7336004,-4.506398
571603,-4.061592,-3.7734277
571604,-4.005036,-4.44585
571605,-3.7126307,-4.774434
571606,-3.9792624,-4.2559404
571607,-4.5228972,-4.4277997
571608,-4.148164,-4.114822
571609,-4.520373,-4.172796
571610,-4.191892,-4.407439
571611,-4.413864,-4.311708
571612,-3.9479775,-4.1696105
571613,-4.663432,-3.8408687
571614,-4.271836,-4.120585
571615,-4.404282,-4.300174
571616,-4.0684643,-4.1169953
571617,-4.279866,-4.1953707
571618,-3.8743427,-3.959195
571619,-3.8518004,-4.801691
571620,-4.962111,-3.8535993
571621,-4.156271,-4.3127418
571622,-4.7410526,-3.6650221
571623,-4.6699557,-4.2002425
571624,-4.027607,-3.9980855
571625,-4.1945786,-4.514443
571626,-4.1455946,-4.51377
571627,-3.9025712,-4.413351
571628,-4.510582,-4.069096
571629,-4.2871933,-3.5861645
571630,-4.404651,-4.2739134
571631,-4.493335,-4.5686603
571632,-3.455063,-4.846336
571633,-3.8946798,-4.4164505
571634,-4.125259,-4.039706
571635,-4.0190296,-4.304249
571636,-3.9279175,-4.2775073
571637,-4.027162,-3.908227
571638,-3.3420708,-5.007588
571639,-4.4551635,-3.9182854
571640,-3.7942328,-4.359312
571641,-3.9616532,-4.8118515
571642,-3.5456233,-4.24082
571643,-3.941299,-3.7008958
571644,-4.2628384,-4.315622
571645,-3.9668286,-4.499531
571646,-3.656426,-4.3894906
571647,-4.597447,-4.4153132
571648,-4.495562,-4.165425
571649,-4.5030394,-4.5641756
571650,-4.7202077,-4.3459854
571651,-3.3409126,-4.7529297
571652,-4.4206576,-4.302689
571653,-4.3566504,-4.2894526
571654,-4.502771,-4.5182853
571655,-3.882135,-4.4780684
571656,-3.7260494,-4.6616673
571657,-4.204986,-4.262795
571658,-3.880231,-4.1634746
571659,-3.4696019,-4.8981605
571660,-4.669361,-4.053743
571661,-3.9741807,-4.094795
571662,-3.9438949,-4.2161126
571663,-3.9802375,-4.5375204
571664,-4.4235244,-3.8428645
571665,-5.2154565,-4.013376
571666,-4.1809688,-4.551215
571667,-4.026018,-4.444542
571668,-4.4252415,-3.828829
571669,-4.341338,-4.231736
571670,-4.091391,-3.777288
571671,-4.2379317,-4.3803205
571672,-4.3370986,-4.4300594
571673,-4.43586,-4.419403
571674,-3.8105574,-4.7160993
571675,-4.0805283,-4.8051314
571676,-3.7969275,-4.2745605
571677,-4.3796105,-4.3966823
571678,-4.4357276,-4.4292574
571679,-3.480996,-4.9438677
571680,-4.196525,-4.6408863
571681,-4.428107,-3.293888
571682,-4.1672373,-3.7885594
571683,-4.0655613,-4.866523
571684,-4.0480456,-3.8154
